"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","5","D1S ","900","992","117333","10","20","    ","          ","     D1SAFT-0901","LCS 19 D1SAFT D3&4STK TEMPSERV","        ","        ","0","100","0","0","0","","",""
"479","6","D1S ","D1SD1 ","0","0","10","880","    ","62","    D1SD1-R90300","LCS 19 D1SD1 XCES DWG REVW    ","05/25/2015","        ","0","0","0","0","0","","",""
"479","6","D1S ","D1SD2 ","0","0","10","880","    ","92","    D1SD2-R90300","LCS 19 D1SD2 XCES DWG REVW    ","05/25/2015","        ","0","0","0","0","0","","",""
"479","6","D1S ","D1SD3 ","0","0","10","880","    ","120","    D1SD3-R90300","LCS 19 D1SD3 XCES DWG REVW    ","05/25/2015","        ","0","0","0","0","0","","",""
"479","6","D1S ","D1SD4 ","0","0","10","880","    ","141","    D1SD4-R90300","LCS 19 D1SD4 XCES DWG REVW    ","05/25/2015","        ","0","0","0","0","0","","",""
"479","6","D1S ","D1SD2 ","321","117283","10","880","    ","101","    D1SD2-R06300","LCS 19 D1SD2 S1009 EL 167A FIX","        ","        ","0","100","0","24.5","24.5","","",""
"479","7","D1S ","D1SD1 ","192","117133","10","8","    ","81","    D1S00-192002","LCS 19 D1SD1 AIR WAND SEAMTEST","        ","        ","10","100","10","13.17","13.17","","",""
"479","7","D1S ","D1SD2 ","192","117135","10","8","    ","111","    D1S00-192003","LCS 19 D1SD2 AIR WAND SEAMTEST","        ","        ","10","100","10","1.5","1.5","","",""
"479","7","D1S ","D1SD3 ","192","117066","10","8","    ","134","    D1S00-192004","LCS 19 D1SD3 AIR WAND SEAMTEST","        ","        ","17","100","17","0.5","0.5","","",""
"479","7","D1S ","D1SD4 ","192","117105","10","8","    ","155","    D1S00-192005","LCS 19 D1SD4 AIR WAND SEAMTEST","        ","        ","10","100","10","6","6","","",""
"479","9","D1S ","D1SD4 ","167","117239","10","18","    ","148","    D1S00-167006","LCS 19 D1SD4 INSTL 167 BERPS  ","        ","        ","15","100","15","27.5","27.5","","",""
"479","9","D1S ","D1SD1 ","167","117240","10","18","    ","70","    D1S00-167003","LCS 19 D1SD1 INSTL 167 BERPS  ","10/19/2015","        ","5","100","5","7","7","","",""
"479","9","D1S ","D1SD1 ","180","117213","10","2","    ","281","    D1S00-180006","LCS 19 D1SD1 INSTL 180D FND TP","        ","        ","57","100","57","76.02","76.02","","",""
"479","9","D1S ","D1SD2 ","180","117141","10","2","    ","100","    D1S00-180007","LCS 19 D1SD2 INSTL 180 D FNDS ","        ","        ","136","100","136","60.5","60.5","","",""
"479","9","D1S ","D1SD2 ","180","117222","10","2","    ","282","    D1S00-180008","LCS 19 D1SD2 INSTL 180D FND TP","        ","        ","116","89","103.24","50.5","70.5","","",""
"479","9","D1S ","D1SD3 ","180","117051","10","2","    ","128","    D1S00-180009","LCS 19 D1SD3 INSTL 180 D FNDS ","        ","        ","164","100","164","164.5","164.5","","",""
"479","9","D1S ","D1SD3 ","180","117212","10","2","    ","274","    D1S00-180010","LCS 19 D1SD3 INSTL 180D FND TP","        ","        ","15","100","15","20.5","20.5","","",""
"479","9","D1S ","D1SD4 ","180","117099","10","2","    ","149","    D1S00-180011","LCS 19 D1SD4 INSTL 180 D FNDS ","        ","        ","20","85","17","22.5","26.47","","",""
"479","9","D1S ","D1SD1 ","180","117139","10","2","    ","71","    D1S00-180005","LCS 19 D1SD1 INSTL 180 D FNDS ","10/19/2015","        ","70","100","70","36.47","36.47","","",""
"479","9","D1S ","D1SD1 ","321","117174","10","18","    ","72","    D1S00-321008","LCS 19 D1SD1 INSTL 321 HOTWORK","        ","        ","470","100","470","542.48","542.48","","",""
"479","9","D1S ","D1SD2 ","321","117175","10","18","    ","101","    D1S00-321009","LCS 19 D1SD2 INSTL 321 HOTWORK","        ","        ","570","100","570","857.54","857.54","","",""
"479","9","D1S ","D1SD3 ","321","117107","10","18","    ","129","    D1S00-321010","LCS 19 D1SD3 INSTL 321 HOTWORK","        ","        ","324","90","291.6","309.92","344.35","","",""
"479","9","D1S ","D1SD4 ","321","117109","10","18","    ","150","    D1S00-321011","LCS 19 D1SD4 INSTL 321 HOTWORK","        ","        ","132","68","89.76","164.5","241.91","","",""
"479","9","D1S ","D1SD3 ","505","0","10","16","    ","237","    D1S00-505003","LCS 19 D1SD3 INST ANTICE HNGR ","        ","        ","100","0","0","0","100","","",""
"479","9","D1S ","D1SD4 ","505","0","10","16","    ","143","    D1S00-505004","LCS 19 D1SD4 INST ANTICE HNGR ","        ","        ","50","0","0","0","0","","",""
"479","9","D1S ","D1SD1 ","512","117079","10","18","    ","73","    D1S00-512003","LCS 19 D1SD1 INSTL HVAC HOTWRK","        ","        ","125","100","125","135.48","135.48","","",""
"479","9","D1S ","D1SD2 ","512","117171","10","18","    ","102","    D1S00-512004","LCS 19 D1SD2 INSTL HVAC HOTWRK","        ","        ","65","100","65","94.33","94.33","","",""
"479","9","D1S ","D1SD3 ","512","117083","10","18","    ","130","    D1S00-512005","LCS 19 D1SD3 INSTL HVAC HOTWRK","        ","        ","145","100","145","146.46","146.46","","",""
"479","9","D1S ","D1SD4 ","512","117100","10","18","    ","151","    D1S00-512006","LCS 19 D1SD4 INSTL HVAC HOTWRK","        ","        ","40","100","40","44.98","44.98","","",""
"479","9","D1S ","D1SD1 ","612","117341","10","18","    ","298","    D1S00-612001","LCS 19 D1SD1 INSTL 612 HOTWORK","        ","        ","72","100","72","7.5","7.5","","",""
"479","9","D1S ","D1SD1 ","623","0","10","18","    ","237","    D1S00-623001","LCS 19 D1SD1 INSTL 623 LADDERS","        ","        ","50","0","0","0","50","","",""
"479","9","D1S ","D1SD4 ","623","0","10","18","    ","          ","    D1S00-623005","LCS 19 D1SD4 INSTL 623 LADDERS","        ","        ","8","0","0","0","8","","",""
