"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","    HPR-05874-08","ELB, 90 DEG, 3"" IPS, ","ELBOW, 90 ","BUTT WELD         ","   ","104261","890080","6","58.9","10","0","10","589","02/02/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-06005-07","COUPLING, REDC, 1-1/ ","COUPLING, ","                  ","   ","104261","890088","2","6.8","2","1","1","7.59","01/30/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09235-01","VALVE, BTFLY, 6"", WA ","VALVE     ","BUTTERFLY         ","   ","102519","890591","3","0","-1","0","-1","0","03/22/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09042-01","VALVE, BUTTERFLY, 3"" ","VALVE     ","BUTTERFLY         ","   ","102519","890591","7","0","-1","0","-1","0","03/22/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09235-01","VALVE, BTFLY, 6"", WA ","VALVE     ","BUTTERFLY         ","   ","102519","890591","11","0","1","0","1","0","03/22/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09042-01","VALVE, BUTTERFLY, 3"" ","VALVE     ","BUTTERFLY         ","   ","102519","890591","15","300","1","0","1","300","03/22/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08202-01","PIPE, STEEL, 2-1/2"", ","PIPE      ","PLAIN END         ","   ","104261","900314","1","6.44","40","0","40","257.6","09/18/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000665-01","PNEUMATIC PILOT, TO  ","PILOT     ","PNEUMATIC         ","   ","101936","930534","1","550","1","0","1","550","04/20/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000266-01","MOTOR CONTROLLER     ","CONTROLLER","MOTOR             ","   ","104359","950526","1","1573.49","1","0","1","1573.49","03/06/2018","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000266-02","MOTOR CONTROLLER     ","CONTROLLER","MOTOR             ","   ","104359","950526","2","1338.44","1","0","1","1338.44","03/06/2018","8","         ","            ","","","","","","","","","","","",""
