"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4505","INV   26677","14","    505-03-L0129","ELL 90 L.R.,B.W.,1-1/2""IPS,STL","449523","    ","            ","2"," EA ","                ","02/24/2017","5.06","            ",""
"4505","INV   26678","3","    505-01-SP007","SPACER, 10"" ANSI CLASS 150 PAT","449662","    ","            ","4"," EA ","-1,117.84","02/24/2017","-605.64","            ",""
"4505","INV   26678","3","    505-01-SP006","SPACER, 8"" ANSI CLASS 150 PATT","449661","    ","            ","4"," EA ","                ","02/24/2017","-512.2","            ",""
"4505","INV   26678","13","    505-01-SP006","SPACER, 8"" ANSI CLASS 150 PATT","449729","    ","            ","4"," EA ","512.2","02/24/2017","512.2","            ",""
"4505","PUR   37868","45","    505-03-K9155","GASKET, 2"" IPS, ANSI CLASS 150","930489","4","ROEMING INDU","6"," EA ","151.38","02/03/2017","151.38","            ",""
"4505","PUR   37895","16","    505-03-F9015","FLG,4"" ANSI, CNA 90-10        ","687532","4","SUNBELT SUPP","2"," EA ","836","02/16/2017","836","            ",""
"4505","PUR   37905","34","    505-03-K9079","GASKET, SPIRAL WOUND, CLASS 15","930561","3","VALLEY GASKE","6"," EA ","4.62","02/16/2017","4.62","            ",""
"4505","PUR   37924","52","    505-01-M928A","BELLMOUTH ASSY, 6"" X 8"", SSTL ","930540","1","NORTHERN FAB","4"," EA ","1,203.68","02/24/2017","1,203.68","            ",""
"4505","PUR   37928","32","    505-01-P0002","TUBE,CPR NKL,90-10,1/4"" IPS X ","798610","1","ALASKAN COPP","160"," LF ","339,827.36","02/24/2017","568","            ",""
"4505","PUR   37928","32","    505-01-P0003","TUBE,CPR NKL,90-10,3/8"" IPS X ","798610","2","ALASKAN COPP","760"," LF ","                ","02/24/2017","2,477.60","            ",""
"4505","PUR   37928","32","    505-01-P0004","TUBE,CU/NI,90-10,1/2"" IPS X   ","798610","3","ALASKAN COPP","2,380.00"," LF ","                ","02/24/2017","8,258.60","            ",""
"4505","PUR   37928","32","    505-01-P0005","TUBE, CUNI,90-10,3/4""         ","798610","4","ALASKAN COPP","1,800.00"," LF ","                ","02/24/2017","8,352.00","            ",""
"4505","PUR   37928","32","    505-01-P0006","TUBE,CU/NI,90-10,1"" IPS X 1.  ","798610","5","ALASKAN COPP","920"," LF ","                ","02/24/2017","4,922.00","            ",""
"4505","PUR   37928","32","    505-01-P0007","TUBE,CU/NI,90-10,1-1/4"" IPS   ","798610","6","ALASKAN COPP","560"," LF ","                ","02/24/2017","4,160.80","            ",""
"4505","PUR   37928","32","    505-01-P0008","TUBE, CU/NI,90-10,1-1/2""      ","798610","7","ALASKAN COPP","1,180.00"," LF ","                ","02/24/2017","10,065.40","            ",""
"4505","PUR   37928","32","    505-01-P0009","TUBE,CNA,90-10, 2"" IPS        ","798610","8","ALASKAN COPP","1,420.00"," LF ","                ","02/24/2017","17,806.80","            ",""
"4505","PUR   37928","32","    505-01-P0010","TUBE,CU/NI ,90-10,2-1/2""      ","798610","9","ALASKAN COPP","840"," LF ","                ","02/24/2017","12,793.20","            ",""
